,log2FC,t,B,PValue,FDR,,,NKG7
CLEC1B,1.201080479,3.873717713,0.185637824,0.00015366,0.001699311,,,PTPRO
PTPRO,1.00953884,3.8500654,0.10206301,0.000167937,0.001822105,,,PPP1R2C
PPP1R2C,1.343898917,3.842356694,0.074916883,0.000172857,0.001864081,,,MMP12
MMP12,1.301934877,3.816835941,-0.014629282,0.000190136,0.002018092,,,GTSF1L
GTSF1L,1.768043432,3.75812843,-0.218717441,0.00023631,0.002402364,,,ENTHD1
ENTHD1,1.116155661,3.757951512,-0.219328448,0.000236464,0.002402678,,,CCL4L2
CCL4L2,1.325036296,3.757123361,-0.222188239,0.000237186,0.002407509,,,ACKR4
ACKR4,1.122643425,3.755117218,-0.229113706,0.000238944,0.002419061,,,CD79B
CD79B,1.080986215,3.752708209,-0.237425793,0.000241071,0.002435543,,,APOBEC3A
APOBEC3A,1.001981095,3.727950806,-0.322588344,0.000263995,0.00261648,,,REC8
REC8,1.026705132,3.72786894,-0.322869163,0.000264074,0.00261648,,,C3
C3,1.054813079,3.721632365,-0.344246767,0.000270168,0.002660648,,,FNDC9
FNDC9,1.133303713,3.713809283,-0.371019772,0.000277999,0.002716381,,,KEL
KEL,1.123826102,3.707186568,-0.393647492,0.000284797,0.002764269,,,CALB1
CALB1,1.645043135,3.684358874,-0.471380243,0.00030945,0.002953618,,,FCRL4
FCRL4,1.482718467,3.652580362,-0.578913538,0.000347143,0.003250976,,,PNOC
PNOC,1.204605162,3.626271864,-0.667337368,0.000381585,0.003500077,,,NME8
NME8,1.06950085,3.604220461,-0.74103292,0.000412912,0.003743441,,,SLFN14
SLFN14,1.079861582,3.566390451,-0.866564855,0.000472368,0.004183369,,,FCRL2
FCRL2,1.291703853,3.562976484,-0.877837662,0.000478112,0.004222749,,,SLC12A3
SLC12A3,1.000693473,3.559203815,-0.890284125,0.000484537,0.004264058,,,NEURL3
NEURL3,1.269458495,3.504756723,-1.068649026,0.000586789,0.004984128,,,CCL21
CCL21,1.367191636,3.409951686,-1.373553427,0.000814685,0.006512028,,,C20orf141
C20orf141,1.536730191,3.400216981,-1.404450919,0.000842282,0.006688571,,,MYH7
MYH7,1.019723263,3.366381005,-1.511246688,0.000945159,0.007344171,,,EPYC
EPYC,1.849622159,3.35114172,-1.559042036,0.00099523,0.007657032,,,CCL7
CCL7,1.523539387,3.344889445,-1.578596447,0.001016481,0.007783713,,,AC134669.1
AC134669.1,1.265707502,3.336717037,-1.604108108,0.001044897,0.007957607,,,IFIT1B
IFIT1B,1.151716819,3.333875762,-1.612964887,0.001054949,0.00800916,,,WNT1
WNT1,1.166471154,3.316705755,-1.666346556,0.00111764,0.0083808,,,AKAP14
AKAP14,1.414713231,3.316066028,-1.66833081,0.001120042,0.00838907,,,GBP7
GBP7,1.16319603,3.315954209,-1.668677609,0.001120462,0.00838907,,,HCAR2
HCAR2,1.095060315,3.312689985,-1.678796808,0.001132796,0.008455467,,,CCL1
CCL1,1.65454667,3.270986485,-1.807309875,0.001301926,0.009457499,,,OR52N4
OR52N4,1.497910465,3.265836304,-1.823081455,0.001324372,0.009602682,,,CLEC4C
CLEC4C,1.365296069,3.234487699,-1.918609797,0.001468954,0.010430164,,,EDAR
EDAR,1.222783723,3.211736386,-1.987431182,0.001582933,0.011078259,,,COL11A1
COL11A1,1.407268489,3.205678479,-2.005683728,0.001614637,0.011239697,,,IGFL2
IGFL2,1.225398679,3.182194675,-2.076152868,0.001743199,0.011920209,,,FCRLA
FCRLA,1.240419432,3.12387494,-2.249170057,0.002104658,0.013873971,,,GAD1
GAD1,1.054341039,3.095909377,-2.331126847,0.002301552,0.014875492,,,CD1B
CD1B,1.102541971,3.052416797,-2.457282219,0.002641825,0.016608558,,,MIA-RAB4B
MIA-RAB4B,1.457630542,3.044559165,-2.47990424,0.002708041,0.016936317,,,TCL1A
TCL1A,1.55361433,3.027890448,-2.527720622,0.002853603,0.017579011,,,AC136428.1
AC136428.1,1.658278789,2.992652415,-2.628031421,0.003185335,0.019118864,,,IGLL1
IGLL1,1.205419829,2.976332654,-2.674131319,0.003350681,0.019860897,,,FCRL1
FCRL1,1.424150175,2.92141372,-2.82759972,0.003966722,0.022659188,,,PLA2G2A
PLA2G2A,1.538306779,2.875485275,-2.95396408,0.004559805,0.025213269,,,SPIC
SPIC,1.353583334,2.868005166,-2.974372868,0.004663738,0.025615869,,,TEX19
TEX19,1.249896446,2.849515527,-3.024613541,0.004929993,0.026769191,,,MS4A1
MS4A1,1.408597084,2.827828383,-3.083167074,0.005259929,0.028174685,,,AC098850.3
AC098850.3,1.056832695,2.815659461,-3.115844309,0.005453756,0.028903575,,,PVALB
PVALB,1.10013575,2.782429529,-3.204423942,0.006016635,0.031200504,,,LHFPL1
LHFPL1,1.127010006,2.766488614,-3.246577106,0.006304974,0.032420124,,,VSTM1
VSTM1,1.143015543,2.726814233,-3.35053003,0.007077869,0.035578914,,,SLC6A14
SLC6A14,1.081522256,2.717316538,-3.375211912,0.007275192,0.036279157,,,MARCO
MARCO,1.14508163,2.712425886,-3.387890643,0.00737873,0.036595996,,,CD5L
CD5L,1.10032585,2.710140967,-3.393807001,0.007427558,0.036781941,,,OR56B1
OR56B1,1.100424802,2.687663142,-3.451765638,0.007923729,0.038579015,,,OR4C6
OR4C6,1.236016276,2.673049693,-3.489208845,0.008262173,0.039908278,,,JCHAIN
JCHAIN,1.076474442,2.671456821,-3.493278856,0.008299841,0.040011015,,,IFNE
IFNE,1.264447147,2.649071959,-3.550239747,0.008845848,0.042020467,,,SIGLEC14
SIGLEC14,1.340256688,2.63261781,-3.591828429,0.009267617,0.043505198,,,HCAR3
HCAR3,1.048891083,2.623437617,-3.614928259,0.009510723,0.044305442,,,CSF2
CSF2,1.05858585,2.623121197,-3.615723133,0.009519204,0.044314654,,,SBK2
SBK2,1.309605886,2.621484559,-3.619833101,0.009563178,0.044475497,,,AC011499.1
AC011499.1,1.070198722,2.59009867,-3.698193001,0.010442582,0.04752361,,,LIM2
LIM2,1.104803769,2.533688465,-3.836839657,0.012207269,0.052926184,,,C5orf46
C5orf46,1.304826968,2.516185794,-3.879284212,0.012806611,0.055011497,,,PSMA8
PSMA8,1.023379713,2.496277683,-3.927230632,0.013520147,0.057245065,,,PAX5
PAX5,1.067850703,2.485287236,-3.953548543,0.013929062,0.058424505,,,PRSS57
PRSS57,1.127754985,2.470639615,-3.988456412,0.014491158,0.060117515,,,LLCFC1
LLCFC1,1.086911501,2.445801995,-4.047210568,0.01549053,0.063175859,,,LYZL6
LYZL6,1.013628569,2.404050328,-4.144729999,0.017308874,0.068961723,,,CCL25
CCL25,1.629659822,2.39694958,-4.161159502,0.017636249,0.069882651,,,TNS4
TNS4,1.043882874,2.355430163,-4.256317329,0.01966232,0.075772718,,,MIA
MIA,1.193755546,2.313558664,-4.350706482,0.021910574,0.082323867,,,CD8B2
CD8B2,1.111828393,2.278375244,-4.428791574,0.023971112,0.087762998,,,TAS2R60
TAS2R60,1.049521904,2.233404321,-4.526961337,0.026850354,0.095567481,,,NPSR1
NPSR1,1.274096412,2.013053329,-4.981208692,0.045715107,0.14107718,,,SERPINB2
SERPINB2,1.207808992,2.005417149,-4.996147713,0.046533158,0.1427441,,,C5orf38
C5orf38,1.172182661,1.987929267,-5.030156267,0.048453548,0.146678372,,,CD8A1
CD8A1,2.081683517,8.48928084,19.50703208,2.44E-13,4.76E-09,,,NKG71
NKG71,2.057222503,7.962775616,17.11389882,3.24E-12,3.16E-08,,,ZNF6831
ZNF6831,2.577769155,7.781868353,16.29661939,7.82E-12,5.09E-08,,,TTC241
TTC241,2.517167238,7.705459904,15.9524172,1.13E-11,5.53E-08,,,GZMH1
GZMH1,2.16424278,7.571765296,15.35172693,2.17E-11,8.46E-08,,,CCL51
CCL51,1.801889931,7.071489985,13.12528818,2.39E-10,7.77E-07,,,CRTAM1
CRTAM1,1.849160318,6.630853476,11.1995799,1.90E-09,5.30E-06,,,FASLG1
FASLG1,1.664111281,6.332537961,9.919549105,7.54E-09,1.54E-05,,,RTP51
RTP51,2.23946422,6.326095885,9.892146046,7.77E-09,1.54E-05,,,IL18BP1
IL18BP1,1.140687665,6.31697416,9.85336256,8.10E-09,1.54E-05,,,IL9R1
IL9R1,1.55680643,6.29387042,9.755226587,9.01E-09,1.54E-05,,,APOBEC3G1
APOBEC3G1,1.084977106,6.027181172,8.632849279,3.02E-08,3.93E-05,,,CD8B1
CD8B1,1.770507964,5.986199266,8.462160236,3.63E-08,4.43E-05,,,PRF11
PRF11,1.371406467,5.952761846,8.323264034,4.21E-08,4.63E-05,,,APOBEC3H1
APOBEC3H1,1.41143294,5.94972465,8.310664441,4.27E-08,4.63E-05,,,EOMES1
EOMES1,1.906867199,5.933898087,8.245054298,4.59E-08,4.64E-05,,,KLRC4-KLRK11
KLRC4-KLRK11,2.064972285,5.925604079,8.210701329,4.76E-08,4.64E-05,,,SLA21
SLA21,1.267290762,5.914379972,8.164245655,5.00E-08,4.65E-05,,,TBC1D10C1
TBC1D10C1,1.309077075,5.89412661,8.080516614,5.48E-08,4.80E-05,,,TBX211
TBX211,1.335833744,5.886623952,8.049532197,5.66E-08,4.80E-05,,,CD3E1
CD3E1,1.441498173,5.807857473,7.725308705,8.03E-08,6.27E-05,,,LAG31
LAG31,1.51543177,5.798231758,7.685821938,8.38E-08,6.29E-05,,,KIR3DL21
KIR3DL21,2.30817613,5.776937615,7.598574939,9.21E-08,6.66E-05,,,PLAAT41
PLAAT41,1.725190721,5.678201469,7.195975289,1.42E-07,9.91E-05,,,GZMM1
GZMM1,1.608424111,5.635735044,7.023822697,1.71E-07,0.000114503,,,XCL21
XCL21,1.725031089,5.628248686,6.993538057,1.77E-07,0.000114503,,,GRAP21
GRAP21,1.200336081,5.621739825,6.967223382,1.82E-07,0.000114503,,,CTSW1
CTSW1,1.579526675,5.609686749,6.918532662,1.92E-07,0.000114503,,,IKZF31
IKZF31,1.598546307,5.574779964,6.777805249,2.23E-07,0.000124548,,,TIGIT1
TIGIT1,1.401093331,5.536430125,6.623691328,2.64E-07,0.000136,,,SEPTIN11
SEPTIN11,1.116682992,5.535000659,6.617956931,2.65E-07,0.000136,,,SIRPG1
SIRPG1,1.452021203,5.529563574,6.596152362,2.72E-07,0.000136,,,APOL31
APOL31,1.146497445,5.518138075,6.550366708,2.86E-07,0.000139323,,,PDCD11
PDCD11,1.218440857,5.494632763,6.456321093,3.16E-07,0.000148371,,,ACAP11
ACAP11,1.052960594,5.492288552,6.446952771,3.19E-07,0.000148371,,,HCST1
HCST1,1.234527545,5.458078271,6.310463844,3.70E-07,0.000167947,,,JAKMIP11
JAKMIP11,1.607113855,5.442630854,6.24897384,3.95E-07,0.000172058,,,GBP41
GBP41,1.629632465,5.441886772,6.246014171,3.97E-07,0.000172058,,,SIT11
SIT11,1.325836386,5.41911583,6.155539403,4.37E-07,0.000185606,,,CXCL91
CXCL91,2.011143883,5.33791241,5.834482779,6.19E-07,0.00024654,,,IL2RB1
IL2RB1,1.095700345,5.302189339,5.694040984,7.20E-07,0.000281238,,,CD3D1
CD3D1,1.342417284,5.272060063,5.575976286,8.19E-07,0.000313283,,,CXCR61
CXCR61,1.218736458,5.236224629,5.436016448,9.52E-07,0.000357493,,,GPR1711
GPR1711,1.475312904,5.213325169,5.346847078,1.05E-06,0.000386279,,,SH2D1A1
SH2D1A1,1.430864086,5.199074855,5.291463196,1.11E-06,0.000402547,,,MAP4K11
MAP4K11,1.168351875,5.192425523,5.265648555,1.15E-06,0.000406426,,,CD521
CD521,1.343999455,5.182176061,5.22589219,1.20E-06,0.000416722,,,CXCR31
CXCR31,1.336184598,5.17794199,5.2094812,1.22E-06,0.000416749,,,CD961
CD961,1.240778702,5.16357827,5.153862671,1.29E-06,0.000433361,,,CD61
CD61,1.167390624,5.150893171,5.104814068,1.36E-06,0.000443415,,,CXCL111
CXCL111,1.957840172,5.113048308,4.958875254,1.60E-06,0.000504381,,,IDO11
IDO11,2.419522366,5.112190458,4.955574049,1.60E-06,0.000504381,,,GZMA1
GZMA1,1.552997044,5.099810078,4.907965588,1.69E-06,0.000514476,,,FCRL61
FCRL61,1.52915904,5.057876999,4.747189841,2.01E-06,0.000602944,,,CD3G1
CD3G1,1.293582611,5.046363368,4.70317521,2.11E-06,0.000613521,,,CD71
CD71,1.147783335,5.014208689,4.580552466,2.41E-06,0.000670694,,,CXCL131
CXCL131,1.75547388,5.005852185,4.548757235,2.49E-06,0.000684436,,,IFNG1
IFNG1,1.676870354,4.996391546,4.512797247,2.59E-06,0.000692148,,,GZMB1
GZMB1,1.552577031,4.969204115,4.40967324,2.89E-06,0.000763573,,,TRIM221
TRIM221,1.063530681,4.943530036,4.312585328,3.22E-06,0.000837048,,,CXCL101
CXCL101,1.844047285,4.903791493,4.16288426,3.78E-06,0.000934796,,,GBP11
GBP11,1.065253671,4.877113445,4.062778112,4.22E-06,0.001029045,,,UBASH3A1
UBASH3A1,1.246795459,4.859696404,3.997595128,4.53E-06,0.001077552,,,ETV71
ETV71,1.113216833,4.856220521,3.984603074,4.59E-06,0.00107969,,,HAPLN31
HAPLN31,1.00917943,4.821749852,3.856056418,5.28E-06,0.001226632,,,CD2471
CD2471,1.072889749,4.797676619,3.766605364,5.82E-06,0.001335881,,,GBP51
GBP51,1.564177558,4.791626991,3.744168127,5.96E-06,0.001337374,,,PYHIN11
PYHIN11,1.34711412,4.768910166,3.660065666,6.53E-06,0.00144868,,,WARS1
WARS1,1.294434464,4.753549538,3.603333271,6.95E-06,0.001500872,,,ITK1
ITK1,1.239195877,4.749909715,3.589906216,7.05E-06,0.001500872,,,GZMK1
GZMK1,1.766245217,4.74457363,3.57023297,7.20E-06,0.001511366,,,KLRD11
KLRD11,1.185398452,4.719741225,3.478855928,7.95E-06,0.001634058,,,CCR51
CCR51,1.204889829,4.6920321,3.377237075,8.88E-06,0.001769102,,,THEMIS1
THEMIS1,1.356716501,4.664056439,3.275011665,9.93E-06,0.001937621,,,KIR2DL41
KIR2DL41,1.466971042,4.64191195,3.19436022,1.08E-05,0.002073857,,,CIITA1
CIITA1,1.308086674,4.639389988,3.185190106,1.09E-05,0.002074319,,,SLFN12L1
SLFN12L1,1.184787076,4.635502973,3.171062546,1.11E-05,0.002082171,,,NLRC31
NLRC31,1.02352717,4.633571888,3.164046638,1.12E-05,0.002082171,,,POU3F11
POU3F11,1.446261816,4.586711503,2.994352843,1.35E-05,0.002391787,,,S1PR41
S1PR41,1.077086325,4.578727561,2.965548109,1.39E-05,0.002429836,,,CD21
CD21,1.188166156,4.57800097,2.96292825,1.39E-05,0.002429836,,,ZAP701
ZAP701,1.111470334,4.572028539,2.941403385,1.43E-05,0.002465458,,,CD271
CD271,1.274952336,4.552213097,2.870114145,1.54E-05,0.002641166,,,ZBED21
ZBED21,1.411797202,4.428214589,2.428484231,2.50E-05,0.003748694,,,SECTM11
SECTM11,1.05069361,4.422313397,2.407661872,2.55E-05,0.003801001,,,CXorf651
CXorf651,1.398812908,4.395184244,2.312168273,2.83E-05,0.004068407,,,TNFSF141
TNFSF141,1.00580549,4.369803763,2.223176341,3.12E-05,0.004413327,,,IL21R1
IL21R1,1.021075802,4.354793805,2.170705316,3.31E-05,0.004548041,,,TRAT11
TRAT11,1.443012929,4.351460445,2.159068791,3.35E-05,0.004548041,,,GPR1741
GPR1741,1.664010659,4.351095373,2.157794708,3.36E-05,0.004548041,,,AIM21
AIM21,1.694407372,4.31727317,2.040062047,3.82E-05,0.004873277,,,ITGAL1
ITGAL1,1.051910139,4.315422154,2.033636292,3.84E-05,0.004873277,,,SP1401
SP1401,1.057548075,4.290662634,1.94785977,4.22E-05,0.00531513,,,KLRK11
KLRK11,1.680998658,4.256426473,1.829793756,4.80E-05,0.005933061,,,APOC11
APOC11,1.209728133,4.227733652,1.731332143,5.35E-05,0.006444194,,,OR2I1P1
OR2I1P1,1.554007864,4.173210917,1.545472106,6.56E-05,0.007355135,,,B3GAT11
B3GAT11,1.390216168,4.17141612,1.539381718,6.60E-05,0.007355135,,,UBD1
UBD1,1.622016142,4.160233075,1.50147383,6.88E-05,0.007587737,,,CD2441
CD2441,1.077060971,4.149963618,1.466723909,7.15E-05,0.007750964,,,DTHD11
DTHD11,1.399219395,4.138347247,1.427487022,7.46E-05,0.007915764,,,PRKCQ1
PRKCQ1,1.085093057,4.065429748,1.182921493,9.76E-05,0.009476659,,,LTA1
LTA1,1.059253715,4.056932971,1.154618978,0.000100668,0.009585058,,,ZNF801
ZNF801,1.641622743,4.037118688,1.088778302,0.000108218,0.010106716,,,KLRC11
KLRC11,1.415788841,4.001573615,0.971230715,0.000123141,0.010957693,,,NCR11
NCR11,1.033041686,3.987846083,0.926029047,0.000129416,0.011170303,,,KLRC31
KLRC31,1.742930778,3.954722472,0.817411713,0.000145842,0.011861191,,,DBH1
DBH1,1.409771969,3.937228214,0.7603043,0.000155303,0.012268318,,,HLA-DOB1
HLA-DOB1,1.129840232,3.915895466,0.69091035,0.000167636,0.012633513,,,IL2RG1
IL2RG1,1.130235475,3.873606622,0.55414452,0.000194902,0.013833809,,,BATF21
BATF21,1.044980041,3.867633242,0.534911966,0.000199079,0.014028254,,,SLAMF61
SLAMF61,1.136276673,3.835277018,0.431106234,0.00022323,0.015307903,,,GNLY1
GNLY1,1.143482559,3.834005777,0.427040681,0.000224233,0.015307903,,,ZNF8311
ZNF8311,1.271229002,3.823718372,0.394176463,0.000232515,0.015637786,,,SAMD31
SAMD31,1.072251324,3.822960652,0.391758374,0.000233137,0.015637786,,,IL321
IL321,1.02299315,3.811328768,0.354681553,0.000242877,0.016070209,,,ARRDC51
ARRDC51,1.371622147,3.768324166,0.218318442,0.00028236,0.017552211,,,KLRC41
KLRC41,1.413273623,3.765985127,0.21093401,0.000284674,0.01758405,,,PLA2G2D1
PLA2G2D1,1.972057052,3.759626228,0.190875696,0.000291057,0.017658964,,,C16orf541
C16orf541,1.02327073,3.755572575,0.178101948,0.000295196,0.017702058,,,BTLA1
BTLA1,1.190290958,3.73978996,0.128464629,0.000311852,0.018168044,,,IFNE1
IFNE1,2.361019263,3.716063474,0.054132933,0.000338581,0.019151922,,,FCRL31
FCRL31,1.357536643,3.70277472,0.012653763,0.000354488,0.019712972,,,KIR2DL31
KIR2DL31,1.148109326,3.678767601,-0.062002308,0.000385041,0.020441688,,,SLC4A11
SLC4A11,1.07938547,3.669605464,-0.090399149,0.000397347,0.020905163,,,ART31
ART31,1.440620507,3.62853609,-0.217039039,0.00045724,0.022825753,,,C11orf211
C11orf211,1.079596761,3.605384938,-0.287956415,0.000494675,0.023840885,,,KLHDC7B1
KLHDC7B1,1.093555889,3.57633553,-0.376458077,0.000545759,0.025243292,,,GPR251
GPR251,1.281120613,3.546073492,-0.468078263,0.00060426,0.026989821,,,TNFRSF13C
TNFRSF13C,1.169417104,3.541731424,-0.481175703,0.000613125,0.027261013,,,HLA-DQA11
HLA-DQA11,1.04798798,3.509255393,-0.578749131,0.000683432,0.029126454,,,TSPAN321
TSPAN321,1.045174536,3.507669044,-0.583497719,0.000687055,0.029197196,,,CLECL11
CLECL11,1.113219927,3.450322291,-0.754053999,0.000830846,0.032920253,,,P2RX2
P2RX2,1.578510693,3.429572921,-0.815231812,0.00088953,0.033692924,,,EXOC3L4
EXOC3L4,1.067351039,3.404181311,-0.889708321,0.000966653,0.035089724,,,CCDC1941
CCDC1941,1.301440256,3.395114033,-0.916199645,0.000995685,0.035641704,,,HLA-DOA1
HLA-DOA1,1.151319922,3.383379148,-0.950403194,0.001034478,0.03638193,,,P2RY101
P2RY101,1.218887323,3.310921835,-1.159541821,0.001307264,0.041761859,,,LY91
LY91,1.056579679,3.308652987,-1.166033173,0.001316808,0.0418612,,,XCR11
XCR11,1.229731753,3.304187652,-1.178798615,0.001335782,0.042257902,,,KIR3DL11
KIR3DL11,1.398913989,3.264171579,-1.292588211,0.00151762,0.045343734,,,HNRNPCL3
HNRNPCL3,1.555443905,3.252135666,-1.326598719,0.001576688,0.046139991,,,IFI44L1
IFI44L1,1.043656013,3.225563258,-1.401332108,0.00171479,0.048221325,,,ABCD21
ABCD21,1.05785713,3.225157345,-1.402469932,0.001716985,0.048221325,,,CD19
CD19,1.13730939,3.164531218,-1.571125495,0.002075876,0.053667569,,,HIST2H2AB
HIST2H2AB,1.531414183,3.07204705,-1.823431387,0.002760019,0.061288739,,,CX3CL11
CX3CL11,1.005994777,3.040673704,-1.907638733,0.003036072,0.065047152,,,AMH
AMH,1.251604301,3.028406746,-1.940371623,0.003150801,0.066053665,,,RAD51AP21
RAD51AP21,1.295370653,2.937294425,-2.180083843,0.004136917,0.076903312,,,TNFRSF13B1
TNFRSF13B1,1.311348443,2.913068759,-2.242800645,0.004443282,0.079725741,,,CCL191
CCL191,1.565751338,2.907534109,-2.257068492,0.004516144,0.080209845,,,PTCRA1
PTCRA1,1.112104145,2.876572711,-2.336467177,0.004944408,0.083438025,,,MIA-RAB4B1
MIA-RAB4B1,1.781181934,2.863074656,-2.370859936,0.005142539,0.085334867,,,CXCR51
CXCR51,1.356087889,2.862862473,-2.371399494,0.005145711,0.085334867,,,FNDC91
FNDC91,1.076835012,2.821805928,-2.475170505,0.005794358,0.090827688,,,TNNI21
TNNI21,1.027634593,2.807584478,-2.510821577,0.006035954,0.092043577,,,TBC1D3L
TBC1D3L,1.044776584,2.798075898,-2.534573512,0.00620259,0.093300796,,,KLRC21
KLRC21,1.119468458,2.792814664,-2.547686589,0.006296589,0.093835893,,,SSTR31
SSTR31,1.058340394,2.778225699,-2.583939012,0.006564094,0.096219656,,,RGS9BP
RGS9BP,1.003271489,2.733766248,-2.6934249,0.007444567,0.103719126,,,VSNL11
VSNL11,1.376931999,2.707314597,-2.757852186,0.008018163,0.108011263,,,HIST1H3I
HIST1H3I,1.197971399,2.695312908,-2.786908075,0.008291436,0.109605925,,,SIGLEC81
SIGLEC81,1.029481815,2.692810999,-2.79295127,0.008349458,0.109894188,,,CAMK2N21
CAMK2N21,1.136078279,2.611507604,-2.986712771,0.010447686,0.12442244,,,KRT85
KRT85,1.100543949,2.608199422,-2.994488575,0.010542368,0.125016087,,,MYBPC1
MYBPC1,1.689116325,2.605510456,-3.000802662,0.010619898,0.12540217,,,PRKCG
PRKCG,1.343124803,2.60303025,-3.006621566,0.010691865,0.125871238,,,H2BFS
H2BFS,1.453152106,2.589334185,-3.038668205,0.011097266,0.127867493,,,CD79A1
CD79A1,1.118561978,2.566703113,-3.091300763,0.011797608,0.131464746,,,CCDC421
CCDC421,1.045138772,2.532836497,-3.169314541,0.012920126,0.138210448,,,AC011499.11
AC011499.11,1.276386396,2.518049059,-3.203095549,0.013439678,0.141217035,,,SYT8
SYT8,1.295186987,2.468120537,-3.315877671,0.015335217,0.151635304,,,SLC25A41
SLC25A41,1.010344316,2.458426049,-3.337547009,0.015729842,0.153991732,,,NPB
NPB,1.027841717,2.413628581,-3.436705736,0.017673627,0.162912928,,,MYOD1
MYOD1,1.083915734,2.399232187,-3.46823091,0.018342202,0.165750664,,,AC068775.11
AC068775.11,1.341377982,2.391524449,-3.48504086,0.018709315,0.167836943,,,OR52N41
OR52N41,1.386241864,2.380860216,-3.50821986,0.019228003,0.169747352,,,VPREB3
VPREB3,1.154916782,2.377446245,-3.515620861,0.019396729,0.170235947,,,RTBDN
RTBDN,1.24592682,2.319155652,-3.640532572,0.022487232,0.184037018,,,LGALS14
LGALS14,1.360243338,2.280098083,-3.722684819,0.024793986,0.193969464,,,GNG8
GNG8,1.23880252,2.278955699,-3.725068918,0.02486448,0.194225951,,,CST2
CST2,1.218253547,2.273970411,-3.73546047,0.02517418,0.195336639,,,NPIPA8
NPIPA8,1.119123624,2.262208165,-3.759897541,0.025918355,0.197463701,,,ALDH3A1
ALDH3A1,1.110938203,2.260790842,-3.762834492,0.026009318,0.197463701,,,RNF151
RNF151,1.066890726,2.250163047,-3.784804702,0.026700377,0.199833074,,,CYP21A2
CYP21A2,1.017199046,2.215724054,-3.855360076,0.029051564,0.208369723,,,VRTN
VRTN,1.216144506,2.205484978,-3.876148295,0.029784635,0.211098871,,,CCL211
CCL211,1.055763706,2.198767756,-3.889739075,0.030274285,0.21256251,,,IFNL21
IFNL21,1.453362965,2.16947723,-3.948564918,0.032492386,0.220273195,,,NKX6-3
NKX6-3,2.07187694,2.154602311,-3.978166273,0.033672014,0.224468591,,,MUC161
MUC161,1.361238895,2.144951508,-3.997273015,0.034457095,0.227449456,,,UGT3A2
UGT3A2,1.147474213,2.143699319,-3.999746419,0.034560114,0.227744386,,,MIA1
MIA1,1.426600268,2.142534477,-4.002046116,0.034656187,0.228012133,,,HIST1H4A
HIST1H4A,1.262851288,2.135650598,-4.015613545,0.035228692,0.229141511,,,SHISAL2B
SHISAL2B,1.295055815,2.133064672,-4.020699923,0.035445862,0.229475216,,,GPR45
GPR45,1.058169161,2.132707962,-4.021401114,0.03547591,0.229517495,,,HIST1H4F
HIST1H4F,1.522668627,2.117007216,-4.05215898,0.036820525,0.233411251,,,PLA2G2A1
PLA2G2A1,1.559057806,2.11426713,-4.057505691,0.03705965,0.233790416,,,KIR3DL31
KIR3DL31,1.178759716,2.106100672,-4.073403544,0.037780311,0.234959714,,,PPP1R2C1
PPP1R2C1,1.11308639,2.085504366,-4.113250461,0.039651848,0.241750566,,,TMEM2441
TMEM2441,1.118206917,2.047104646,-4.186588057,0.043355056,0.252988743,,,TCL1A1
TCL1A1,1.16266328,2.04493101,-4.190702173,0.043573275,0.253631652,,,SLC6A141
SLC6A141,1.037791582,2.031782584,-4.215503475,0.044913473,0.257380311,,,CD2741
CD2741,2.357017297,13.62400298,51.59872627,9.87E-28,1.93E-23,,,GBP12
GBP12,1.775275634,12.51966936,45.24751139,7.72E-25,7.53E-21,,,STAT11
STAT11,1.30533476,11.52407704,39.4794616,3.22E-22,2.09E-18,,,GBP42
GBP42,2.042733421,11.36609081,38.56318163,8.37E-22,4.09E-18,,,IRF11
IRF11,1.284730679,10.75495644,35.02275457,3.37E-20,1.31E-16,,,PARP141
PARP141,1.138273537,10.71366579,34.78396872,4.32E-20,1.41E-16,,,LAP31
LAP31,1.144959618,10.68754944,34.63297487,5.06E-20,1.41E-16,,,WARS2
WARS2,1.908429923,10.51595254,33.6416895,1.42E-19,3.06E-16,,,IDO12
IDO12,3.382275456,10.50197111,33.56098898,1.55E-19,3.06E-16,,,NLRC51
NLRC51,1.251450672,10.49941754,33.54625102,1.57E-19,3.06E-16,,,GBP52
GBP52,2.407287768,10.38429673,32.88222601,3.14E-19,5.57E-16,,,IFNG2
IFNG2,2.631616733,9.775963377,29.38952638,1.19E-17,1.90E-14,,,TAP11
TAP11,1.415927871,9.76592614,29.33217618,1.27E-17,1.90E-14,,,CXCL92
CXCL92,2.48800505,9.49645172,27.79660156,6.27E-17,8.74E-14,,,TAP21
TAP21,1.056170556,9.435398614,27.44988545,9.00E-17,1.17E-13,,,CXCL102
CXCL102,2.455346461,9.150857649,25.84053743,4.81E-16,5.21E-13,,,FASLG2
FASLG2,1.71719388,9.094809008,25.52489619,6.67E-16,6.86E-13,,,CXCL112
CXCL112,2.549909731,8.814602434,23.95440882,3.42E-15,3.18E-12,,,BATF22
BATF22,1.7256742,8.687138344,23.24447444,7.17E-15,5.89E-12,,,PRF12
PRF12,1.454022055,8.68531293,23.2343291,7.24E-15,5.89E-12,,,GZMB2
GZMB2,1.882167379,8.610068582,22.8166824,1.12E-14,8.74E-12,,,LAG32
LAG32,1.534614978,8.261402061,20.89628301,8.26E-14,5.97E-11,,,RNF2131
RNF2131,1.053139912,8.159914891,20.34226425,1.47E-13,1.03E-10,,,KLRD12
KLRD12,1.41110531,8.022908221,19.59818042,3.19E-13,2.08E-10,,,MMP251
